lat,lon,temperature [oC],soil moisture [m3/m3],pH_H2O_0-5cm [-],pH_H2O_5-15cm [-],pH_H2O_15-30cm [-],pH_H2O_30-60cm [-],pH_H2O_0-30cm [-],pH_H2O_2017_0-5cm [-],pH_H2O_2017_5-15cm [-],pH_H2O_2017_15-30cm [-],pH_H2O_2017_30-60cm [-],pH_H2O_2017_0-30cm [-],pH_KCl_2017_0-5cm [-],pH_KCl_2017_5-15cm [-],pH_KCl_2017_15-30cm [-],pH_KCl_2017_30-60cm [-],pH_KCl_2017_0-30cm [-],SOC_0-5cm [wt%],SOC_5-15cm [wt%],SOC_15-30cm [wt%],SOC_30-60cm [wt%],SOC_0-30cm [wt%],CEC_0-5cm [cmol/kg],CEC_5-15cm [cmol/kg],CEC_15-30cm [cmol/kg],CEC_30-60cm [cmol/kg],CEC_SG_0-30cm [cmol/kg],CEC_2017_0-5cm [cmol/kg],CEC_2017_5-15cm [cmol/kg],CEC_2017_15-30cm [cmol/kg],CEC_2017_30-60cm [cmol/kg],CEC_SG_2017_0-30cm [cmol/kg],NPP [gC/m/yr],porosity [-],BS_0-20cm [%],BS_20-40cm [%],BS_40-60cm [%],nitrification rate [kgN/ha/day],runoff [m/yr],erosion [mm/yr],CEC_0-30cm [cmol/kg],CEC_30-100cm [cmol/kg],cropland [%]
44.5,-108.5,7.072371006011963,0.23646587133407593,7.800000000000001,8.0,8.0,8.200000000000001,7.966666666666667,8.1,8.200000000000001,8.200000000000001,8.3,8.183333333333334,7.300000000000001,7.300000000000001,7.4,7.4,7.35,2.77,1.42,0.9400000000000001,0.5700000000000001,1.405,17.400000000000002,16.2,15.9,15.700000000000001,16.25,1.7000000000000002,2.1,2.3000000000000003,2.3000000000000003,2.1333333333333333,139.9320092584525,0.44699999690055847,93.73430555555555,95.44,96.03569444444445,0.0038907877169549465,0.01550233274501453,1.7297361411069323,3.7513554446241795,3.7513554446241795,8.0
44.5,-107.5,1.6983963251113892,0.23086494207382202,7.5,7.6000000000000005,7.7,8.0,7.633333333333333,7.5,7.5,7.6000000000000005,7.800000000000001,7.550000000000001,7.0,6.9,7.0,7.1000000000000005,6.966666666666667,1.9100000000000001,1.32,0.98,0.62,1.2483333333333333,16.2,16.2,16.0,15.3,16.1,2.3000000000000003,2.7,2.9000000000000004,2.9000000000000004,2.7333333333333334,280.82881124397727,0.43700000643730164,77.91222222222223,78.67986111111111,80.55354166666666,0.01105634868144989,0.16700910052768916,1.7297361411069323,13.298517761143074,14.598517951877938,9.0
44.5,-106.5,7.046289443969727,0.2316126823425293,6.6000000000000005,6.7,6.800000000000001,7.0,6.733333333333334,7.1000000000000005,7.1000000000000005,7.300000000000001,7.6000000000000005,7.2,7.2,7.0,7.1000000000000005,7.300000000000001,7.083333333333334,5.14,3.14,2.08,1.04,2.9433333333333334,22.8,19.8,20.6,19.1,20.7,2.1,2.4000000000000004,2.3000000000000003,2.4000000000000004,2.3,251.3483201882758,0.41200000047683716,89.76451388888889,93.50694444444444,94.2325,0.03316790610551834,0.035570947258428603,1.7297361411069323,9.96182146940491,9.424750312066173,12.0
44.5,-105.5,7.249025344848633,0.22934654355049133,6.9,7.1000000000000005,7.300000000000001,7.9,7.166666666666667,6.800000000000001,6.800000000000001,6.9,7.1000000000000005,6.85,6.800000000000001,6.7,6.7,7.0,6.716666666666667,2.6,1.68,1.17,0.64,1.5783333333333334,19.700000000000003,20.0,20.3,19.700000000000003,20.1,2.3000000000000003,2.6,2.7,2.7,2.6,234.5536774128677,0.41200000047683716,92.47055555555555,99.0,99.0,0.06340552121400833,0.03172483020446198,1.7297361411069323,16.779598998151332,12.907970819713142,11.0
44.5,-104.5,6.34313440322876,0.22737102210521698,6.7,6.800000000000001,7.0,7.5,6.883333333333333,6.2,6.300000000000001,6.300000000000001,6.5,6.283333333333333,5.1000000000000005,5.2,5.1000000000000005,5.2,5.133333333333334,3.17,1.85,1.08,0.65,1.685,19.5,20.400000000000002,21.1,20.3,20.6,3.3000000000000003,3.1,2.3000000000000003,2.3000000000000003,2.7333333333333334,307.5722775231398,0.41200000047683716,91.00152777777778,98.08027777777778,98.54305555555555,0.04878860339522362,0.07634806895077281,1.7297361411069323,0.0,0.0,13.0
44.5,-103.5,8.081425666809082,0.22690518200397491,6.6000000000000005,6.6000000000000005,6.7,7.300000000000001,6.65,7.0,7.0,7.1000000000000005,7.300000000000001,7.050000000000001,6.1000000000000005,6.1000000000000005,6.0,6.1000000000000005,6.05,2.27,1.3800000000000001,0.99,0.61,1.3333333333333335,20.5,21.1,23.200000000000003,21.200000000000003,22.05,2.9000000000000004,2.8000000000000003,2.7,2.6,2.7666666666666666,343.55344104970413,0.44699999690055847,94.86916666666667,98.21333333333334,98.59020833333334,0.03560737147927284,0.09387515067515156,1.1613942661717973,18.57849685646446,18.57849685646446,14.0
44.5,-102.5,8.068395614624023,0.22812995314598083,6.800000000000001,6.800000000000001,6.7,6.7,6.75,7.2,7.2,7.4,7.6000000000000005,7.3,6.4,6.4,6.4,6.7,6.4,2.7,2.06,1.2,0.73,1.7366666666666668,27.1,26.900000000000002,26.1,25.0,26.533333333333335,2.6,2.6,2.7,2.7,2.6500000000000004,282.493607156533,0.44699999690055847,98.71708333333333,99.28291666666667,99.0,0.05435118451714516,0.05017832481222102,1.1613942661717973,15.474404266993176,15.369442677040865,12.0
44.5,-101.5,8.233357429504395,0.22665350139141083,7.300000000000001,7.4,7.6000000000000005,7.800000000000001,7.483333333333334,6.9,7.0,7.2,7.300000000000001,7.083333333333334,6.6000000000000005,6.7,6.6000000000000005,6.800000000000001,6.633333333333334,2.57,1.56,1.03,0.6900000000000001,1.4633333333333334,29.700000000000003,29.700000000000003,29.6,29.200000000000003,29.650000000000002,2.8000000000000003,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.8833333333333337,287.7847506103915,0.44699999690055847,98.54548611111112,98.96138888888889,98.96722222222222,0.04995030164718628,0.060543127302334805,1.1613942661717973,37.71097861879015,37.50090362974946,11.0
44.5,-100.5,8.439347267150879,0.22992762923240662,7.2,7.300000000000001,7.4,7.9,7.333333333333333,7.1000000000000005,7.1000000000000005,7.2,7.4,7.15,6.2,6.300000000000001,6.2,6.4,6.233333333333333,2.74,1.59,1.04,0.77,1.5066666666666668,30.900000000000002,31.5,31.5,29.0,31.4,3.1,3.0,3.0,2.9000000000000004,3.0166666666666666,281.1650630123846,0.44699999690055847,93.08215277777778,96.26993055555556,98.42965277777778,0.06584765762090683,0.058991993054059624,1.1613942661717973,20.415000915527344,20.0,21.0
44.5,-99.5,7.127488613128662,0.23319923877716064,6.800000000000001,7.0,7.2,7.800000000000001,7.066666666666666,6.7,6.800000000000001,7.1000000000000005,7.4,6.933333333333334,6.1000000000000005,6.1000000000000005,6.1000000000000005,6.300000000000001,6.1,2.7800000000000002,2.0,1.22,0.72,1.7400000000000002,24.0,23.5,23.700000000000003,21.900000000000002,23.683333333333334,2.7,2.6,2.6,2.5,2.6166666666666667,362.1192546907801,0.43700000643730164,90.20326388888888,94.02395833333334,96.84465277777778,0.044365085661411285,0.07560383463193744,1.1613942661717973,0.0,0.0,39.0
