lat,lon,temperature [oC],soil moisture [m3/m3],pH_H2O_0-30cm [-],SOC_0-30cm [wt%],NPP [gC/m/yr],porosity [-],BS_0-20cm [%],nitrification rate [kgN/ha/day],runoff [m/yr],erosion [mm/yr],CEC_0-30cm [cmol/kg],cropland [%],OC_input_gC_per_m2_per_yr,log_tau_OC_yr,log_KH_per_Na,log_Ca_M
31.5,-89.5,18.241884231567400,0.276518166065216,5.5,1.4383333333333300,922.5358136284380,0.449999988079071,42.87215277777780,0.0269111413508653,0.5791231896572010,0.8648680705534660,3.75,7.0,1038.969202,0.4855489723694510,5.829147327,-3.5455416549741400
31.5,-88.5,18.15903663635250,0.2724506855010990,5.300000000000000,1.6316666666666700,889.0542328952890,0.449999988079071,46.56875,0.0265359617769718,0.5541302125704050,0.8648680705534660,0.0,2.0,,,,
31.5,-87.5,18.217618942260700,0.2722703814506530,5.25,1.61,831.5351715615170,0.4469999969005580,47.321041666666700,0.0301008950918912,0.5258611204535470,0.8401575542519390,0.0,7.0,,,,
31.5,-86.5,18.14898681640630,0.2646769285202030,5.300000000000000,1.6250000000000000,916.245358009422,0.4469999969005580,48.37354166666670,0.0375584214925766,0.4889785860137930,0.8401575542519390,0.0,13.0,895.4761793,0.5879934735823830,5.178363846,-3.6137346356879000
31.5,-85.5,18.343542098999000,0.25642791390419,5.45,1.3333333333333300,781.5166364377760,0.4469999969005580,52.20965277777780,0.0237168073654174,0.4364473292544020,0.8401575542519390,0.0,34.0,1287.255814,0.4435508974810520,5.427792791,-3.4751182098656600
31.5,-84.5,18.756521224975600,0.2526590228080750,5.15,1.8733333333333300,719.6045785147520,0.4469999969005580,52.02298611111110,0.0244009513407945,0.383901362904145,0.8401575542519390,0.0,50.0,1317.378742,0.42517562271543300,5.536375401,-3.4906600176580500
31.5,-83.5,18.850271224975600,0.2503869831562040,5.300000000000000,1.905,756.4004714573040,0.4469999969005580,51.10583333333330,0.0219513922929763,0.3037344705728490,0.8401575542519390,0.0,55.0,1346.016679,0.4346945460925570,5.447521861,-3.5140538560286400
31.5,-82.5,19.079219818115200,0.2343304455280300,5.15,1.538333333333330,884.1973731447340,0.4189999997615810,52.89138888888890,0.0202767346054315,0.2725104192287500,0.8401575542519390,0.0,28.0,1455.900927,0.498404306193759,5.080841216,-3.662733010784860
31.5,-81.5,19.3701114654541,0.2196865975856780,4.75,2.52,776.4686038832730,0.4189999997615810,50.085127028934400,0.0239771343767642,0.2391246883267500,0.8401575542519390,10.418620649551900,6.0,,,,
32.5,-114.5,22.981958389282200,0.1421782970428470,8.05,0.5833333333333330,59.79095311554870,0.4120000004768370,97.315625,2.07427036408186E-17,0.0457804784795754,1.7297361411069300,4.0,11.0,,,,
